,id,subscale,item,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20
0,1,B,"No matter how accomplished he is, a man is not truly complete as a person unless he has the love of a woman.",1,2,1,1,1,1,1,2,1,1,0,1,1,2,1,1,1,1,1,1
1,2,H,"Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for “equality.”",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,B,"In a disaster, women ought not necessarily to be rescued before men.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,H,Most women interpret innocent remarks or acts as being sexist.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,5,H,Women are too easily offended.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,B,People are often truly happy in life without being romantically involved with a member of the other sex,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
6,7,H,Feminists are not seeking for women to have more power than men.,2,2,2,1,3,1,1,2,2,3,2,2,1,2,1,2,1,1,2,1
7,8,B,Many women have a quality of purity that few men possess.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,B,Women should be cherished and protected by men.,2,1,2,3,2,2,0,2,1,2,0,2,1,1,1,1,1,2,1,1
9,10,H,Most women fail to appreciate fully all that men do for them.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,11,H,Women seek to gain power by getting control over men.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,B,Every man ought to have a woman whom he adores.,2,2,2,1,2,1,2,1,1,2,2,1,1,2,1,1,3,2,2,0
12,13,B,Men are complete without women.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,H,Women exaggerate problems they have at work.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,H,"Once a woman gets a man to commit to her, she usually tries to put him on a tight leash.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
15,16,H,"When women lose to men in a fair competition, they typically complain about being discriminated against.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,B,A good woman should be set on a pedestal by her man.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,H,There are actually very few women who get a kick out of teasing men by seeming sexually available and then refusing male advances.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,19,B,"Women, compared to men, tend to have a superior moral sensibility.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,20,B,Men should be willing to sacrifice their own well-being in order to provide financially for the women in their lives.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,21,H,Feminists are making entirely reasonable demands of men.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
21,22,B,"Women, as compared to men, tend to have a more refined sense of culture and good taste.",1,1,0,0,2,2,1,1,2,1,1,1,1,1,1,1,1,0,1,1
